"author","count_publications","nova_author"
"Machado,JAF",1,"yes"
"Machado,JAT",4,"no"
"Machado,JT",2,"no"
"Machalická,KV",1,"no"
"Macours,K",1,"no"
"Madureira,L",5,"no"
"Magalhaes,A",1,"no"
"Magalhães,PC",1,"no"
"Máguas,C",1,"no"
"Mahalingam,A",5,"no"
"Mahmood,T",1,"no"
"Maio,P",4,"no"
"Major,M",2,"yes"
"Major,MJ",7,"yes"
"Malafry,L",3,"no"
"Malik,AA",2,"no"
"Maluccio,JA",1,"no"
"Mamédio,DF",1,"no"
"Mann,S",1,"no"
"Manski,CF",1,"no"
"Manso,G",1,"no"
"ManuelLuiz,J",1,"no"
"Maor,C",1,"no"
"Maquia,ISA",1,"no"
"MarcoFranco,JE",2,"no"
"Mariano,B",1,"no"
"Mário,AM",1,"no"
"Markman,GD",2,"no"
"Marques,A",8,"yes"
"Marques,AC",1,"yes"
"Marques,AP",1,"no"
"Marques,C",4,"no"
"Marques,I",2,"no"
"Marques,ISS",1,"no"
"Marques,S",1,"no"
"MarquesGomes,J",1,"no"
"MarquesPita,M",1,"no"
"Marreiros,H",1,"yes"
"Martin,X",1,"no"
"Martinez,E",1,"no"
"Martinez,LF",29,"yes"
"Martinez,LM",4,"no"
"MartinezGiralt,X",1,"no"
"Martins,AM",1,"no"
"Martins,JO",2,"no"
"Martins,LD",1,"no"
"Martins,LF",3,"no"
"Martins,MM",1,"no"
"Martins,NC",1,"no"
"Martins,PS",6,"yes"
"Massa,M",1,"no"
"Massinga,R",1,"no"
"MastersWaage,TC",1,"no"
"Mastio,EA",1,"no"
"Mastrandrea,R",1,"no"
"Mata,E",1,"yes"
"Mata,J",7,"yes"
"Mata,ME",20,"yes"
"Matallana,M",1,"no"
"Matias,MA",3,"yes"
"Matos,O",1,"no"
"Matos,P",10,"no"
"Matosc,P",1,"no"
"Mbanze,AA",10,"yes"
"McAndrews,JJ",1,"no"
"McGuirk,EF",1,"no"
"McindoeCalder,T",1,"no"
"McKee,M",2,"no"
"McMurry,N",2,"no"
"Mehra,A",1,"no"
"Meisiek,S",3,"yes"
"Mellahi,K",6,"no"
"Melo,A",2,"no"
"Melo,AI",1,"no"
"Melo,MR",1,"no"
"Menon,S",1,"no"
"Mergulhao,J",1,"no"
"Meriggi,NF",2,"no"
"Mesdaghinia,S",1,"no"
"Mesquita,J",1,"no"
"Meyer,B",1,"no"
"Meyer,M",2,"no"
"Meyer,V",1,"no"
"MeyerJr,V",1,"no"
"Miambo,RD",1,"no"
"Mian,A",1,"no"
"Miguel,AF",3,"no"
"Mikkelsen,EN",1,"no"
"Millán,TM",1,"yes"
"Miller,K",1,"no"
"Miner,AS",2,"no"
"Miraglia,M",1,"no"
"Miranda,L",1,"no"
"MironSpektor,E",2,"no"
"Mitev,N",1,"no"
"Moasa,H",1,"no"
"Mobarak,AM",1,"no"
"Moita,B",1,"no"
"MoldãoMartins,M",3,"no"
"MolinaMillán,T",1,"yes"
"Monte,J",2,"yes"
"Monteiro,F",6,"yes"
"Monteiro,G",2,"no"
"Monteiro,N",1,"yes"
"Monteiro,P",1,"yes"
"Mora,C",1,"no"
"Moreira,F",1,"no"
"Morelli,M",1,"no"
"Moreno,D",1,"no"
"Morgan,DP",1,"no"
"Mota,P",1,"yes"
"Mota,R",1,"no"
"Mota,RP",2,"yes"
"Moura,A",1,"no"
"Moura,M",3,"no"
"Moury,C",1,"yes"
"Moutinho,A",1,"no"
"Mudekwe,J",1,"no"
"Mukherjee,A",1,"no"
"MulasGranados,C",3,"no"
"Mulenga,A",1,"yes"
"Munro,I",2,"no"
"Murphy,KJ",1,"no"
"Musacchio,A",1,"no"
"Naar,L",1,"no"
"Nai,J",1,"no"
"Nakkas,A",1,"yes"
"Nannicini,A",1,"no"
"Narayanan,J",1,"no"
"Narciso,G",1,"no"
"Nazareth,T",3,"yes"
"Ndayiragije,A",2,"no"
"Neto,M",1,"no"
"Neu,W",1,"no"
"Neumann,HL",1,"no"
"Neumann,KH",2,"no"
"NeumannBöhme,S",4,"no"
"Neves,MDLG",1,"no"
"Neves,P",43,"yes"
"Neves,RC",1,"no"
"Ng,ES",1,"no"
"Nhantumbo,N",1,"no"
"Nicolau,J",4,"no"
"Nicolopoulou,K",1,"no"
"Nielsen,RK",2,"no"
"Nikolova,N",1,"no"
"Nilssen,T",1,"no"
"Ninan,J",4,"no"
"Norton,MI",1,"no"
"Novo,Á",1,"no"
"Nunes,C",1,"no"
"Nunes,LC",28,"yes"
"OchoaPacheco,P",1,"no"
"Offergeld,T",1,"no"
"Okhmatovskiy,I",5,"yes"
"Oliva,FL",1,"no"
"Oliveira,C",1,"no"
"Oliveira,M",2,"no"
"Oliveira,MD",1,"no"
"Oliveira,MJ",1,"yes"
"Oliveira,P",6,"yes"
"Oliveira,T",1,"no"
"OliveiraCruz,F",3,"no"
"Omer,SB",1,"no"
"OpazoBasaez,M",2,"no"
"Opromolla,LD",1,"no"
"Orbe,S",2,"no"
"Orsato,RJ",1,"no"
"Ortigão,M",2,"no"
"Osiyevskyy,O",1,"no"
"Otrachshenko,V",10,"yes"
"Otto,F",1,"yes"
"Owens,B",2,"no"
"Owens,BP",1,"no"
"Ozbas,O",1,"no"
"Pacheco,M",1,"no"
"Padmanaban,R",2,"yes"
"Pais,MS",1,"no"
"Paiva,O",2,"no"
"Paligorova,T",2,"no"
"Panagopoulos,T",3,"no"
"Paolucci,G",1,"no"
"Papé,L",1,"no"
"Papoila,A",3,"yes"
"PaqueletMoreira,BF",1,"no"
"Parrado,R",1,"no"
"Parreira,C",1,"no"
"Parry,G",2,"no"
"Parzuchowski,M",1,"no"
"Páscoa,M",1,"yes"
